,Unnamed: 0.1,Unnamed: 0,reviews,new_reviews,Positive,Negative,Neutral,Compound,Sentiment
0,0,0,"
I got a defective piece. Since I was not at my home during the delivery period, I couldn't ask for replacement. I'm trying to claim warranty, but I didn't get any assistance.
",get defective piece since home delivery period could not ask replacement I m try claim warranty do not get assistance,0.0,0.146,0.854,-0.4404,1
1,1,1,"
This bag is of the lowest quality you can imagine. I am sure it's a duplicate one and not original. The inner partitions are so thin that they will tear off after 3-4 use. Returning the item.
",bag low quality imagine sure duplicate one original inner partition thin tear 34 use return item,0.234,0.107,0.66,0.3612,0
2,2,2,"
Received the bag in the worst packaging I have seen in my e commerce experience.Also the bag though seemed original seemed to be of poor quality.The partition cloth seemed weak and the mesh for carrying bottle around seemed fragile.Overall 2 stars for Amazon and not for the product1 for timely delivery, and2 for accepting the refund!
",receive bag bad packaging see e commerce experiencealso bag though seem original seem poor qualitythe partition cloth seem weak mesh carry bottle around seem fragileoverall 2 star amazon product1 timely delivery and2 accept refund,0.157,0.226,0.618,-0.5994,1
3,3,3,"
The stiches of the  bag is started coming out in 6 months. Feel the cloth is of poor quality.how to return the bag for availing the warranty, can anyone please adviseReturning the materials after the Amazon window closes is an Herculean task, the bag has become a burden for me now
",stiche bag start come 6 month feel cloth poor qualityhow return bag avail warranty anyone please advisereturne material amazon window close herculean task bag become burden,0.129,0.194,0.677,-0.4588,1
4,4,4,"
Very nice bag ....Very light....And spacious. ...
",nice bag lightand spacious,0.483,0.0,0.517,0.4215,0
5,5,5,"
Totally disappointed..Not at all worth buying. It seems only the name is been printed as American Tourister and the bag is local brand. Quality is so badThis time totally disappointed.
",totally disappointednot worth buy seem name print american tourister bag local brand quality badthis time totally disappointed,0.106,0.165,0.729,-0.2992,1
6,6,6,"
Product is good with classy looks...Have enough space for 3 days travel..Fabric should have been even better ....
",product good classy lookshave enough space 3 day travelfabric even well,0.53,0.0,0.47,0.7845,0
7,7,7,"
I got this for 803 ...at this price it's great .I have got this right now ...looking great ..I feel  that it will be robust in long term usage ..if not I will right and decrease the rating ...but for now it's amazing Amazon!!!
",get 803 price great get right look great feel robust long term usage right decrease rate amazing amazon,0.553,0.0,0.447,0.9442,0
8,8,8,"
Initially the bag was very good. But with the passage of time and continuous usage, the bottom of the bag started deteriorating. And after 1 year and 2 months it has started tearing off. On the other hand my son is using school bag of Skybags bought from Big Bazaar and it's still in good condition despite of rough usage which usually kids do.After comparing both the bags I arrived on the conclusion that either the bags which are being sold on Amazon are duplicate products or are of low quality which are specially manufactured for selling on eCommerce websites.This is not the only case. I have arrived on this conclusion after 3-4 years of experience, as within this period I have purchased handbags of Lavie, Caprese etc. All the bags started deteriorating after passage of one year.
",initially bag good passage time continuous usage bottom bag start deteriorate 1 year 2 month start tear hand son use school bag skybag buy big bazaar still good condition despite rough usage usually kid doafter compare bag arrive conclusion either bag sell amazon duplicate product low quality specially manufacture selling ecommerce websitesthis case arrive conclusion 34 year experience within period purchase handbag lavie caprese etc bag start deteriorate passage one year,0.139,0.027,0.833,0.8225,0
9,9,9,"
I got this bag just a moment ago..And my reaction was what the hell.. it looks like a copy and the material quality is really cheap..it doesn’t look like an original American tourister..Amazon is selling fake products
",get bag moment agoand reaction hell look like copy material quality really cheapit do not look like original american touristeramazon sell fake product,0.153,0.296,0.551,-0.687,1
10,10,10,"
I got a defective piece. Since I was not at my home during the delivery period, I couldn't ask for replacement. I'm trying to claim warranty, but I didn't get any assistance.
",get defective piece since home delivery period could not ask replacement I m try claim warranty do not get assistance,0.0,0.146,0.854,-0.4404,1
11,11,11,"
This bag is of the lowest quality you can imagine. I am sure it's a duplicate one and not original. The inner partitions are so thin that they will tear off after 3-4 use. Returning the item.
",bag low quality imagine sure duplicate one original inner partition thin tear 34 use return item,0.234,0.107,0.66,0.3612,0
12,12,12,"
Received the bag in the worst packaging I have seen in my e commerce experience.Also the bag though seemed original seemed to be of poor quality.The partition cloth seemed weak and the mesh for carrying bottle around seemed fragile.Overall 2 stars for Amazon and not for the product1 for timely delivery, and2 for accepting the refund!
",receive bag bad packaging see e commerce experiencealso bag though seem original seem poor qualitythe partition cloth seem weak mesh carry bottle around seem fragileoverall 2 star amazon product1 timely delivery and2 accept refund,0.157,0.226,0.618,-0.5994,1
13,13,13,"
The stiches of the  bag is started coming out in 6 months. Feel the cloth is of poor quality.how to return the bag for availing the warranty, can anyone please adviseReturning the materials after the Amazon window closes is an Herculean task, the bag has become a burden for me now
",stiche bag start come 6 month feel cloth poor qualityhow return bag avail warranty anyone please advisereturne material amazon window close herculean task bag become burden,0.129,0.194,0.677,-0.4588,1
14,14,14,"
Very nice bag ....Very light....And spacious. ...
",nice bag lightand spacious,0.483,0.0,0.517,0.4215,0
15,15,15,"
Totally disappointed..Not at all worth buying. It seems only the name is been printed as American Tourister and the bag is local brand. Quality is so badThis time totally disappointed.
",totally disappointednot worth buy seem name print american tourister bag local brand quality badthis time totally disappointed,0.106,0.165,0.729,-0.2992,1
16,16,16,"
Product is good with classy looks...Have enough space for 3 days travel..Fabric should have been even better ....
",product good classy lookshave enough space 3 day travelfabric even well,0.53,0.0,0.47,0.7845,0
17,17,17,"
I got this for 803 ...at this price it's great .I have got this right now ...looking great ..I feel  that it will be robust in long term usage ..if not I will right and decrease the rating ...but for now it's amazing Amazon!!!
",get 803 price great get right look great feel robust long term usage right decrease rate amazing amazon,0.553,0.0,0.447,0.9442,0
18,18,18,"
Initially the bag was very good. But with the passage of time and continuous usage, the bottom of the bag started deteriorating. And after 1 year and 2 months it has started tearing off. On the other hand my son is using school bag of Skybags bought from Big Bazaar and it's still in good condition despite of rough usage which usually kids do.After comparing both the bags I arrived on the conclusion that either the bags which are being sold on Amazon are duplicate products or are of low quality which are specially manufactured for selling on eCommerce websites.This is not the only case. I have arrived on this conclusion after 3-4 years of experience, as within this period I have purchased handbags of Lavie, Caprese etc. All the bags started deteriorating after passage of one year.
",initially bag good passage time continuous usage bottom bag start deteriorate 1 year 2 month start tear hand son use school bag skybag buy big bazaar still good condition despite rough usage usually kid doafter compare bag arrive conclusion either bag sell amazon duplicate product low quality specially manufacture selling ecommerce websitesthis case arrive conclusion 34 year experience within period purchase handbag lavie caprese etc bag start deteriorate passage one year,0.139,0.027,0.833,0.8225,0
19,19,19,"
I got this bag just a moment ago..And my reaction was what the hell.. it looks like a copy and the material quality is really cheap..it doesn’t look like an original American tourister..Amazon is selling fake products
",get bag moment agoand reaction hell look like copy material quality really cheapit do not look like original american touristeramazon sell fake product,0.153,0.296,0.551,-0.687,1
20,20,20,"
This backpack is amazing..First I ordered the same bag with grey colour from Flipkart but the  price was 1234.56 rupees but when I searched this product from Amazon price was 920 only.... And also delivery time was osm. U can go through with this bag for travelling ,school ,college nd etc. U all can judge from pics😄
",backpack amazingfirst order bag grey colour flipkart price 123456 rupee search product amazon price 920 also delivery time osm u go bag travel school college nd etc u judge pic,0.1,0.0,0.9,0.2263,0
21,21,21,"
The product as looks is not competable with image. The inner images is totally different. There is no compartment for pen and pencil as shown in picture.Material are not at standard level of american tourister.May be  some one cheating company with his brand. Very poor quality.As I have to move with on urgent basis. Otherwise I have to go return and buy new from market.I don't believe it that Amazon too is going to loose his brand credibility.
",product look competable image inner image totally different compartment pen pencil show picturematerial standard level american touristermay one cheat company brand poor qualityas move urgent basis otherwise go return buy new marketi do not believe amazon go loose brand credibility,0.039,0.212,0.749,-0.7974,1
22,22,22,"
Okk super product but the material is not like shown in picture but overall I review it 4.5 out of 5 stars nyc item and also it has very good storage capacity
",okk super product material like show picture overall review 45 5 star nyc item also good storage capacity,0.399,0.0,0.601,0.8519,0
23,23,23,"
The bag quality is very good and very light weight.
",bag quality good light weight,0.42,0.0,0.58,0.4404,0
24,24,24,"
Using it for around 2 months. This bag is quite large than what it seems in the image. The red colour also looks good. Ideal for students from 9 standards till last year of graduation.And yeah, don't u worry: it's original American Tourister bag!
",use around 2 month bag quite large seem image red colour also look good ideal student 9 standard till last year graduationand yeah do not u worry original american tourister bag,0.304,0.055,0.641,0.8378,0
25,25,25,"
Not at all good waste one. After a month it gets toron, not at all water proof 😤
",good waste one month get toron water proof,0.248,0.239,0.513,0.0258,0
26,26,26,"




                    The media could not be loaded.
                



 This bag was triple folded when it was delivered to me making its front part look ugly permanantly . The front part there fades aways after a few days or so . Its inner part is made of cheap polymer .
",medium could load bag triple fold deliver make front part look ugly permanantly front part fade away day inner part make cheap polymer,0.0,0.13,0.87,-0.5106,1
27,27,27,"
I bought the bag relaying upon the brand and Amazon. But quality of the bag is very poor. Three months old bag looks like three years old. I was very disappointed. Never expects such a bad quality product from an international brand like American toutister. Please don't buy. I actually want to return the bag since it is within warranty period.
",buy bag relay upon brand amazon quality bag poor three month old bag look like three year old disappointed never expect bad quality product international brand like american toutister please do not buy actually want return bag since within warranty period,0.227,0.142,0.631,0.5312,0
28,28,28,"
Bag is quite good.. original american tourister
",bag quite good original american tourister,0.591,0.0,0.409,0.6976,0
29,29,29,"
Not value for money.It's sticker in the front tear downed.Bad quality products..and torn many places with side pockets in two months..It has one year warranty but the telephone no provided by Amazon customer service are not in service...
",value moneyit sticker front tear downedbad quality productsand tear many place side pocket two monthsit one year warranty telephone provide amazon customer service service,0.157,0.0,0.843,0.4767,0
30,30,30,"
Very good quality material and looks good.
",good quality material look good,0.659,0.0,0.341,0.7003,0
31,31,31,"
I hate everything in the bag and the strap is torn off ,I want to replace it
",hate everything bag strap tear want replace,0.13,0.37,0.5,-0.5267,1
32,32,32,"
Build quality is excellent. The bag is water resistant. The graphics on bag make the more attractive. I'm totally satisfied with this backbag. It is very very light weight. Thank you American Tourister for manufacturing this marvellous product. Best backbag under 1200/-
",build quality excellent bag water resistant graphic bag make attractive I m totally satisfied backbag light weight thank american tourister manufacturing marvellous product good backbag 1200,0.443,0.0,0.557,0.9336,0
33,33,33,"
The branding ""American Tourister"" has been completely erased at the first washIt seems the product has a manufacturing / printing defect and sold through Amazon to unsuspecting customers like me who trust Amazon as a marketplace for genuine and defect-free products / services
",branding american tourister completely erase first washit seem product manufacture printing defect sell amazon unsuspecting customer like trust amazon marketplace genuine defectfree product service,0.301,0.078,0.621,0.7003,0
34,34,34,"
After 2 months use , the bag got teared and the colour dimes. Also the plastic coating graphics on backside is going. I prefer not to buy this bag. The Warranty does not cover these problems. So buy at Ur own Risk..!!😠🙄🙄
",2 month use bag get tear colour dime also plastic coating graphic backside go prefer buy bag warranty cover problem buy ur risk,0.0,0.194,0.806,-0.5859,1
35,35,35,"
When I ordered this product considering it was from American Tourister, when the actual product arrived I found the quality of the bag material quite flimsy. The overall weight of the bag was less & the overall product was not even okayish. The pockets shown in the pictures shown it could contain various things very easily. But the actual product had very simple yet not useful pockets inside. For me, travelling in public transport I can not trust this bag can hold my valuables like wallet or mobile for that matter. Returned after 1 day as it was completely useless for my daily needs.
",order product consider american tourister actual product arrive find quality bag material quite flimsy overall weight bag less overall product even okayish pocket show picture show could contain various thing easily actual product simple yet useful pocket inside travel public transport trust bag hold valuable like wallet mobile matter return 1 day completely useless daily need,0.23,0.047,0.723,0.8809,0
36,36,36,"
Ok let me clear you every topic step by step ! Please don't trust order1) light weight2) it's original3) i just got that next day(within22 hours)4) made in china product(so can boycott that)5) not waterproof,no cover6) easy to carry,graphic are in good shape!7) students can use this back not school kids because i m sure about how much weight it can carry easily8) at this price , you will buy some other chinese products so you can go for this9) rating will be 4.5 from 5 stars . Money should be nearby 600
",ok let clear every topic step step please do not trust order1 light weight2 original3 get next daywithin22 hours4 make china productso boycott that5 waterproofno cover6 easy carrygraphic good shape7 student use back school kid sure much weight carry easily8 price buy chinese product go this9 rating 45 5 star money nearby 600,0.237,0.078,0.685,0.848,0
37,37,37,"
The product seems to be genuine but the quality could have been a bit more better
",product seem genuine quality could bit well,0.259,0.0,0.741,0.2732,0
38,38,38,"
Bags from American tourister can be trusted blindly. This bag too has surpassed my expectations, happy to have this one. The only thing that disappointed me is that, the delivery agent did not deliver the bag on the promised date and postponed it to the next one.  Overall the bag is superb for school use, good zippers, water resistant and is economic for the price paid for a branded bag.
",bag american tourister trust blindly bag surpass expectation happy one thing disappointed delivery agent deliver bag promise date postpone next one overall bag superb school use good zipper water resistant economic price pay brand bag,0.328,0.129,0.543,0.8979,0
39,39,39,"
Good ..what i need.. good space and green and grey gives awesome look to u.. laptop like compartment in 2 nd chain love this ... and the bag of back is to soft while hanging on ur shoulder u feel like that u carry nothing in bag 😚And the bag on sale ₹1029 👌good deal just go for it
",good need good space green grey give awesome look u laptop like compartment 2 nd chain love bag back soft hang ur shoulder u feel like u carry nothing bag bag sale 1029 good deal go,0.492,0.0,0.508,0.969,0
40,40,40,"
Pros!1.Looks amazing!2.Have 3 compartments with lots of space and one small compartment in front which is useful3.Good for school and traveling4.zips are all perfect5.Branded comes with warrenty6.on timee delivery with cod.Cons1.Thin material used to build (May tear)2.No rain cover3.not fully waterproof (partially waterproof)
",pros1look amazing2have 3 compartment lot space one small compartment front useful3good school traveling4zip perfect5brande come warrenty6on timee delivery codcons1thin material use build may tear2no rain cover3not fully waterproof partially waterproof,0.0,0.0,1.0,0.0,0
41,41,41,"
Its a duplicate product. Bought on 10th June 2019. After few months of use the side water bottle pockets were tear off. I ignored it. Last month, all the stitching and thread of bottom and inside of bag started tearing apart. Contacted amazon for warranty, they took almost an hour and NOT provided any correct number of American Tourister or dealer address for claiming warranty. Amazon support staff doesn't have any proper information for claiming warranty. Wasted my Money and Time. Like to give negative ratting for this. DONT TRUST CLOUDTAIL PRODUCTS.
",duplicate product buy 10th june 2019 month use side water bottle pocket tear ignore last month stitch thread bottom inside bag start tear apart contact amazon warranty take almost hour provide correct number american tourister dealer address claim warranty amazon support staff do not proper information claim warranty waste money time like give negative ratting do not trust cloudtail product,0.136,0.161,0.702,-0.5862,1
42,42,42,"




                    The media could not be loaded.
                



 Kya bataun mbbs student hu class travel dono ke liye mast chalega
",medium could load kya bataun mbbs student hu class travel dono ke liye mast chalega,0.0,0.0,1.0,0.0,0
43,43,43,"
Within a month of usage, the bag material is shredding of its own.
",within month usage bag material shredding,0.0,0.0,1.0,0.0,0
